dense_k,bm25_k,rrf_k,dense_weight,bm25_weight,rerank_k,fusion_eligible,fusion_dev_MRR@10,fusion_dev_Success@1,fusion_dev_Success@5,fusion_dev_Success@10,fusion_dev_Recall@50,fusion_dev_NDCG@10,fusion_dev_NDCG@50,rerank_dev_MRR@10,rerank_dev_Success@1,rerank_dev_Success@5,rerank_dev_Success@10,rerank_dev_Recall@50,rerank_dev_NDCG@10,rerank_dev_NDCG@50,rerank_eligible,rerank_test_MRR@10,rerank_test_Success@1,rerank_test_Success@5,rerank_test_Success@10,rerank_test_Recall@50,rerank_test_NDCG@10,rerank_test_NDCG@50,rerank_all_MRR@10,rerank_all_Success@1,rerank_all_Success@5,rerank_all_Success@10,rerank_all_Recall@50,rerank_all_NDCG@10,rerank_all_NDCG@50
75,50,20,0.5,1.0,50,False,0.9479166666666666,0.9375,0.9583333333333334,0.9583333333333334,0.8846664582621863,0.6473027377724847,0.7393320296134184,,,,,,,,,,,,,,,,,,,,,,
75,75,20,0.5,1.0,50,False,0.9479166666666666,0.9375,0.9583333333333334,0.9583333333333334,0.8882389128329389,0.6473027377724847,0.7417987011433853,,,,,,,,,,,,,,,,,,,,,,
30,50,20,0.5,1.0,50,False,0.9479166666666666,0.9375,0.9583333333333334,0.9583333333333334,0.8818631279539059,0.6458912143967411,0.7369970402647447,,,,,,,,,,,,,,,,,,,,,,
50,50,20,0.5,1.0,50,False,0.9479166666666666,0.9375,0.9583333333333334,0.9583333333333334,0.8827689250553551,0.6439081720296468,0.7375502156718086,,,,,,,,,,,,,,,,,,,,,,
50,75,20,0.5,1.0,50,False,0.9479166666666666,0.9375,0.9583333333333334,0.9583333333333334,0.8883492362958497,0.6439081720296468,0.7403792698252576,,,,,,,,,,,,,,,,,,,,,,
30,50,60,0.5,1.0,50,False,0.9375,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.7923953214644041,0.6314292039826405,0.7041378922952353,,,,,,,,,,,,,,,,,,,,,,
75,50,60,0.5,1.0,50,False,0.9375,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.7923953214644041,0.6286640257597528,0.6982890568427393,,,,,,,,,,,,,,,,,,,,,,
30,50,100,0.5,1.0,50,False,0.9375,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.7923953214644041,0.62843726301659,0.7028426898547826,,,,,,,,,,,,,,,,,,,,,,
75,75,60,0.5,1.0,50,False,0.9340277777777777,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.8126072691892036,0.6274743735229666,0.7032352481641869,,,,,,,,,,,,,,,,,,,,,,
50,50,60,0.5,1.0,50,False,0.9270833333333334,0.8958333333333334,0.9583333333333334,0.9583333333333334,0.7923953214644041,0.6258640009932861,0.6982719561352452,,,,,,,,,,,,,,,,,,,,,,
50,75,60,0.5,1.0,50,False,0.923611111111111,0.8958333333333334,0.9583333333333334,0.9583333333333334,0.8111801614608662,0.6253167811189283,0.7027253177496678,,,,,,,,,,,,,,,,,,,,,,
50,50,100,0.5,1.0,50,False,0.9166666666666666,0.875,0.9583333333333334,0.9583333333333334,0.7923953214644041,0.6244488260475183,0.6948279866501131,,,,,,,,,,,,,,,,,,,,,,
75,50,20,1.0,1.0,50,True,0.9270833333333334,0.8958333333333334,0.9583333333333334,0.9791666666666666,0.9498335619432869,0.6205739869447563,0.7424570086774587,0.9432870370370371,0.9166666666666666,0.9583333333333334,1.0,0.9498335619432869,0.7751411277923892,0.8305070179924833,True,1.0,1.0,1.0,1.0,0.9476638884298658,0.796499010549685,0.8484858479245543,0.9574652777777778,0.9375,0.96875,1.0,0.9492911435649316,0.7804805984817131,0.835001725475501
