qid	doc_id	relevance	score
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_726	1	0.9999
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_752	1	0.9924
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_739	1	0.9264
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_745	0	0.3212
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_1573	0	0.1207
A002	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_218	1	0.9270
A002	计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_493	1	0.8224
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_546	1	0.7226
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_626	1	0.5987
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_563	0	0.4455
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_18	1	0.9716
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_20	1	0.9503
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_558	1	0.9184
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_48	1	0.8592
A003	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_47	0	0.3205
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_279	0	0.1805
A004	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_54	0	0.0873
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_176	0	0.0404
A004	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_58	0	0.0228
A004	Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_236	0	0.0005
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_834	1	0.7366
A005	数据结构 (邓俊辉) (Z-Library)_chunk_519	1	0.5325
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_835	0	0.4563
