qid	doc_id	relevance	score
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_445	1	0.9999
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_448	1	0.9974
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_461	1	0.9924
A001	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_334	1	0.9404
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_457	0	0.3181
A002	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_137	1	0.9270
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_425	1	0.7226
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_489	0	0.4272
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_440	0	0.3846
A002	计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_309	0	0.1002
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_11	1	0.9768
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_344	1	0.9184
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_12	1	0.9151
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_28	1	0.8552
A003	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_24	0	0.2859
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_172	0	0.4438
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_110	0	0.2409
A004	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_115	0	0.0966
A004	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_31	0	0.0237
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_847	0	0.0234
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_490	1	0.9517
A005	数据结构 (邓俊辉) (Z-Library)_chunk_323	1	0.7548
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_494	1	0.6173
A005	数据结构 (邓俊辉) (Z-Library)_chunk_328	0	0.2750
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_754	0	0.0360
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_288	1	0.9979
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_307	1	0.9804
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_282	1	0.9578
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_197	0	0.3314
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_168	0	0.2598
A007	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_161	1	0.8411
A007	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_155	1	0.8372
A007	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_336	0	0.2957
A007	计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_309	0	0.2653
A007	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_449	0	0.1513
A008	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_212	1	0.9615
A008	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_215	1	0.9479
A008	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_216	1	0.9311
A008	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_214	1	0.9271
A008	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_244	0	0.3058
A009	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_151	1	0.5079
A009	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_253	0	0.4677
A009	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_188	0	0.3536
A009	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_973	0	0.2264
A009	Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_310	0	0.0305
A010	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_637	1	0.8534
A010	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_199	0	0.0220
A010	数据结构 (邓俊辉) (Z-Library)_chunk_78	0	0.0100
A010	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_358	0	0.0046
A010	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_61	0	0.0014
A011	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_318	1	0.9271
A011	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_419	1	0.8903
A011	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_43	1	0.8380
A011	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_219	0	0.3747
A011	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_410	0	0.1295
A012	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_109	1	0.9545
A012	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_178	0	0.2011
A012	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_529	0	0.1366
A012	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_847	0	0.0713
A012	Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_113	0	0.0082
A013	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_334	1	0.8306
A013	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_336	0	0.4627
A013	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_362	0	0.2003
A013	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_370	0	0.1317
A013	Python数据结构与算法分析 第3版 (米勒 拉努姆 罗曼) (Z-Library)_chunk_189	0	0.0394
A014	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_274	1	0.8641
A014	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_164	0	0.1646
A014	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_272	0	0.1455
A014	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_284	0	0.0782
A014	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_99	0	0.0123
A015	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_199	1	0.8133
A015	Python数据结构与算法分析 第3版 (米勒 拉努姆 罗曼) (Z-Library)_chunk_70	1	0.6296
A015	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_358	0	0.2961
A015	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_582	0	0.2254
A015	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_267	0	0.0259
A016	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_160	1	0.7836
A016	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_161	1	0.6888
A016	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_449	0	0.4159
A016	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_155	0	0.2867
A016	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_137	0	0.0182
A017	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_275	0	0.3614
A017	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_269	0	0.2346
A017	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_747	0	0.0259
A017	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_271	0	0.0140
A017	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_301	0	0.0011
A018	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_367	1	0.5628
A018	数据结构 (邓俊辉) (Z-Library)_chunk_352	0	0.0765
A018	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_241	0	0.0710
A018	Python数据结构与算法分析 第3版 (米勒 拉努姆 罗曼) (Z-Library)_chunk_164	0	0.0376
A018	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_582	0	0.0062
A019	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_445	1	0.9295
A019	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_316	0	0.0005
A019	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_134	0	0.0004
A019	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_391	0	0.0003
A019	数据结构 (邓俊辉) (Z-Library)_chunk_34	0	0.0003
A020	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_413	0	0.0084
A020	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_430	0	0.0051
A020	计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_384	0	0.0021
A020	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_573	0	0.0004
A020	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_414	0	0.0004
A021	计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_512	0	0.0244
A021	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_289	0	0.0017
A021	计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_169	0	0.0014
A021	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_317	0	0.0011
A021	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_127	0	0.0008
A022	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_677	1	0.9091
A022	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_683	1	0.6891
A022	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_684	1	0.6437
A022	数据结构 (邓俊辉) (Z-Library)_chunk_491	1	0.6139
A022	数据结构 (邓俊辉) (Z-Library)_chunk_492	0	0.0378
A023	数据结构 (邓俊辉) (Z-Library)_chunk_13	0	0.2173
A023	数据结构 (邓俊辉) (Z-Library)_chunk_33	0	0.0117
A023	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_167	0	0.0090
A023	数据结构 (邓俊辉) (Z-Library)_chunk_478	0	0.0074
A023	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_11	0	0.0047
