qid	doc_id	relevance	score
A001	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_672	1	0.9983
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_919	1	0.9982
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_944	1	0.9931
A001	Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_2811	1	0.8417
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_937	0	0.3133
A002	Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_4294	1	0.7409
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_643	1	0.7226
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_742	0	0.3701
A002	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_565	0	0.2856
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_641	0	0.2578
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_21	1	0.9794
A003	Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_113	1	0.9768
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_189	1	0.8958
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_98	1	0.8052
A003	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_26	1	0.5430
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_372	0	0.4319
A004	Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_763	0	0.1378
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_351	0	0.1067
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_220	0	0.0524
A004	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_67	0	0.0019
A005	数据结构 (邓俊辉) (Z-Library)_chunk_571	1	0.8940
A005	数据结构 (邓俊辉) (Z-Library)_chunk_643	1	0.8706
A005	数据结构 (邓俊辉) (Z-Library)_chunk_647	1	0.7158
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_1057	0	0.4912
A005	数据结构 (邓俊辉) (Z-Library)_chunk_645	0	0.3434
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_533	1	0.9852
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_567	1	0.9415
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_273	1	0.5955
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_274	0	0.1841
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_293	0	0.0604
A007	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_310	1	0.8814
A007	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_677	0	0.3011
A007	计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_574	0	0.2957
A007	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_215	0	0.2212
A007	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_670	0	0.1074
